event_id,ocel:timestamp,ocel:activity,weight,price,ocel:type:items,ocel:type:products,ocel:type:customers,ocel:type:orders,ocel:type:packages
1,2019-05-20 09:07:47,place order,3.52,524.96,"['880001', '880004', '880003', '880002']","['Echo Studio', 'Echo Show 8', 'Fire Stick 4K', 'Echo']",['Marco Pegoraro'],['990001'],
2,2019-05-20 10:35:21,place order,2.656,3255.99,"['880008', '880005', '880006', '880007']","['Kindle', 'iPad Air', 'iPad', 'MacBook Air']",['Gyunam Park'],['990002'],
3,2019-05-20 10:38:17,pick item,0.483,79.99,['880006'],['Kindle'],['Gyunam Park'],['990002'],
4,2019-05-20 11:13:54,confirm order,3.52,524.96,"['880001', '880004', '880003', '880002']","['Echo Studio', 'Echo Show 8', 'Fire Stick 4K', 'Echo']",['Marco Pegoraro'],['990001'],
5,2019-05-20 11:20:13,pick item,0.28,89.99,['880002'],['Fire Stick 4K'],['Marco Pegoraro'],['990001'],
6,2019-05-20 12:30:30,place order,0.994,2468.99,"['880009', '880010', '880011', '880012']","['iPhone 11', 'iPhone 11 Pro', 'iPad Air', 'Fire Stick']",['Majid Rafiei'],['990003'],
7,2019-05-20 12:34:16,confirm order,0.994,2468.99,"['880009', '880010', '880011', '880012']","['iPhone 11', 'iPhone 11 Pro', 'iPad Air', 'Fire Stick']",['Majid Rafiei'],['990003'],
8,2019-05-20 13:54:37,item out of stock,1.48,199.99,['880004'],['Echo Studio'],['Marco Pegoraro'],['990001'],
9,2019-05-20 14:20:47,place order,2.46,334.98,"['880014', '880013']","['Echo Studio', 'Echo Show 8']",['Junxiong Gao'],['990004'],
10,2019-05-20 15:19:49,item out of stock,0.44,476.0,['880009'],['iPad Air'],['Majid Rafiei'],['990003'],
11,2019-05-20 16:01:22,place order,0.923,1580.0,"['880015', '880016']","['iPad Air', 'iPad Pro']",['Seran Uysal'],['990005'],
12,2019-05-20 16:56:02,pick item,0.98,129.99,['880014'],['Echo Show 8'],['Junxiong Gao'],['990004'],
13,2019-05-20 17:08:25,pick item,1.25,2200.0,['880008'],['MacBook Air'],['Gyunam Park'],['990002'],
14,2019-05-20 17:22:31,place order,1.432,923.98,"['880018', '880019', '880017']","['iPhone X', 'Echo Show 8', 'Fire Stick 4K']",['Christina Rensinghof'],['990006'],
15,2019-05-20 17:51:15,pick item,0.2,39.99,['880011'],['Fire Stick'],['Majid Rafiei'],['990003'],
16,2019-05-20 18:15:00,pick item,0.44,476.0,['880007'],['iPad Air'],['Gyunam Park'],['990002'],
